Explained Variance Ratio
0.9960033245369224
0.0028633024209609504
0.0006136590289166216
0.0002301276889953296
0.00011726037327286246
8.130635742375227e-05
3.241472885024803e-05
2.205856996625373e-05
1.2220486086935197e-05
8.142603439051683e-06
5.813691550341619e-06
4.220739773583545e-06
2.6885296459581925e-06
1.4374643233734167e-06
1.1459918152111843e-06
5.968645779228087e-07
2.799234792943103e-07
