epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,145.408,0.57945,0.48671,1.05625,0.96351,0.94643,0.96172,0.82409,0.45822,0.41559,0.96754,0.00191882,0.00191882,0.00191882
43,148.759,0.59023,0.50283,1.06533,0.9754,0.89286,0.95835,0.79356,0.51005,0.41016,0.99001,0.00191684,0.00191684,0.00191684
44,152.109,0.59972,0.4956,1.06067,0.9757,0.875,0.93114,0.80906,0.52139,0.49784,1.00149,0.00191486,0.00191486,0.00191486
45,155.449,0.56935,0.48013,1.06542,0.98037,0.89199,0.93269,0.82567,0.49612,0.423,0.96799,0.00191288,0.00191288,0.00191288
46,158.86,0.59106,0.49672,1.07443,0.97946,0.85145,0.94819,0.73932,0.58902,0.45409,1.09937,0.0019109,0.0019109,0.0019109
47,162.429,0.58242,0.4897,1.06031,0.95982,0.85312,0.94626,0.78627,0.51462,0.45792,1.01296,0.00190892,0.00190892,0.00190892
48,165.843,0.57758,0.46598,1.077,0.99303,0.91071,0.95819,0.82973,0.475,0.42219,0.99789,0.00190694,0.00190694,0.00190694
49,169.213,0.53744,0.45233,1.05782,0.92394,0.92857,0.94991,0.80287,0.47023,0.48542,0.99683,0.00190496,0.00190496,0.00190496
50,172.552,0.58229,0.4578,1.0427,0.94547,0.96429,0.96314,0.86178,0.39039,0.35708,0.91435,0.00190298,0.00190298,0.00190298
51,175.889,0.54907,0.45786,1.03506,0.97927,0.94643,0.96235,0.87454,0.38564,0.34597,0.91594,0.001901,0.001901,0.001901
52,179.23,0.54505,0.44713,1.05524,0.97638,0.94643,0.96537,0.85393,0.45535,0.37089,0.94311,0.00189902,0.00189902,0.00189902
53,182.577,0.53074,0.44228,1.02216,0.97768,0.92857,0.96095,0.85841,0.41527,0.36247,0.92642,0.00189704,0.00189704,0.00189704
54,186.132,0.58201,0.46633,1.03495,0.96169,0.92857,0.95138,0.84568,0.43228,0.37376,0.93141,0.00189506,0.00189506,0.00189506
55,189.568,0.53979,0.46322,1.02607,0.95517,0.85714,0.95271,0.82135,0.43104,0.4618,0.96559,0.00189308,0.00189308,0.00189308
56,192.913,0.5085,0.43242,1.01189,0.8829,0.94643,0.94958,0.83038,0.4459,0.46176,0.94138,0.0018911,0.0018911,0.0018911
57,196.254,0.50145,0.4301,1.02237,0.92686,0.94643,0.94554,0.83597,0.44932,0.42174,0.93209,0.00188912,0.00188912,0.00188912
58,199.622,0.56782,0.48244,1.03095,0.93824,0.89286,0.93954,0.81836,0.42409,0.40452,0.93268,0.00188714,0.00188714,0.00188714
59,202.986,0.49494,0.42408,1.02218,0.98096,0.92857,0.96402,0.8677,0.39756,0.31538,0.91532,0.00188516,0.00188516,0.00188516
60,206.394,0.51388,0.42683,1.03071,1,0.90835,0.95986,0.88335,0.43019,0.32147,0.91231,0.00188318,0.00188318,0.00188318
61,209.858,0.52207,0.43891,1.03063,0.97631,0.94643,0.95544,0.87844,0.3905,0.37194,0.91079,0.0018812,0.0018812,0.0018812
62,213.145,0.52465,0.43845,1.00804,1,0.95724,0.96642,0.87004,0.38995,0.32675,0.9086,0.00187922,0.00187922,0.00187922
63,216.457,0.5338,0.43508,1.02325,0.94556,0.9305,0.96149,0.86065,0.41731,0.59202,0.94494,0.00187724,0.00187724,0.00187724
64,219.813,0.50644,0.43216,1.00714,0.96006,0.94643,0.9621,0.84491,0.44781,0.47139,0.95379,0.00187526,0.00187526,0.00187526
65,223.153,0.52211,0.42273,1.01524,0.95873,0.92857,0.9569,0.84568,0.47276,0.42197,0.95476,0.00187328,0.00187328,0.00187328
66,226.587,0.50677,0.42787,1.02638,0.95338,0.91071,0.9569,0.8452,0.4568,0.41347,0.92458,0.0018713,0.0018713,0.0018713
67,230.003,0.48118,0.40869,1.02556,0.98122,0.93318,0.95858,0.85176,0.41713,0.41937,0.91784,0.00186932,0.00186932,0.00186932
68,233.406,0.52938,0.43409,1.02694,0.96337,0.96429,0.96467,0.84869,0.40165,0.3629,0.93089,0.00186734,0.00186734,0.00186734
69,236.684,0.50324,0.40861,1.0013,0.98033,0.94643,0.96556,0.86368,0.40129,0.3372,0.92278,0.00186536,0.00186536,0.00186536
70,240.027,0.50641,0.41407,1.01443,1,0.9083,0.95944,0.86379,0.39522,0.30965,0.89865,0.00186338,0.00186338,0.00186338
71,243.347,0.50602,0.40164,1.01024,0.98111,0.92729,0.94705,0.84814,0.41979,0.34875,0.93068,0.0018614,0.0018614,0.0018614
72,246.768,0.53937,0.44082,1.05889,0.99597,0.94643,0.96773,0.84891,0.45055,0.31844,0.94151,0.00185942,0.00185942,0.00185942
73,250.166,0.4995,0.40864,1.02836,0.98174,0.95993,0.96774,0.85668,0.42015,0.30921,0.92582,0.00185744,0.00185744,0.00185744
74,253.511,0.49952,0.41245,1.03599,1,0.90779,0.96344,0.85378,0.42278,0.31906,0.93485,0.00185546,0.00185546,0.00185546
75,256.956,0.5143,0.43299,0.99019,0.95691,0.89286,0.94223,0.82153,0.4272,0.363,0.95732,0.00185348,0.00185348,0.00185348
76,260.298,0.48552,0.41666,0.991,0.98956,0.875,0.94887,0.8514,0.39188,0.40442,0.92446,0.0018515,0.0018515,0.0018515
77,263.674,0.51501,0.42389,1.01803,0.98069,0.90691,0.95666,0.85974,0.39471,0.31277,0.90194,0.00184952,0.00184952,0.00184952
78,267.049,0.52993,0.43447,1.03039,0.98068,0.90646,0.95693,0.84607,0.43898,0.38392,0.9511,0.00184754,0.00184754,0.00184754
79,270.428,0.52448,0.43005,1.02328,0.98036,0.89152,0.95238,0.8536,0.40992,0.35187,0.91433,0.00184556,0.00184556,0.00184556
80,273.856,0.56549,0.44912,1.04963,0.97916,0.92857,0.96293,0.87668,0.40061,0.31037,0.90544,0.00184358,0.00184358,0.00184358
81,277.167,0.48542,0.40364,1.01151,0.94282,0.94643,0.96231,0.87544,0.40108,0.31943,0.89972,0.0018416,0.0018416,0.0018416
82,280.565,0.48571,0.38767,1.00847,1,0.90472,0.96383,0.88334,0.37142,0.29556,0.90276,0.00183962,0.00183962,0.00183962
83,283.902,0.50275,0.42551,1.0029,0.99761,0.94643,0.96671,0.87372,0.40186,0.3016,0.91493,0.00183764,0.00183764,0.00183764
84,287.261,0.49629,0.39124,1.00694,0.9955,0.94643,0.96615,0.82805,0.46032,0.32548,0.97736,0.00183566,0.00183566,0.00183566
85,290.537,0.48571,0.38583,0.99986,0.96102,0.96429,0.96732,0.84754,0.44791,0.34578,0.93738,0.00183368,0.00183368,0.00183368
86,293.871,0.51592,0.40771,1.00566,0.96282,0.92493,0.96258,0.85443,0.43027,0.35318,0.94255,0.0018317,0.0018317,0.0018317
87,297.299,0.5012,0.39106,1.00008,0.93079,0.91071,0.95964,0.85989,0.38981,0.41889,0.90492,0.00182972,0.00182972,0.00182972
88,300.636,0.49769,0.38625,0.99308,0.97397,0.92857,0.96066,0.84343,0.41504,0.42691,0.90482,0.00182774,0.00182774,0.00182774
89,304.004,0.49458,0.41248,1.02387,0.96418,0.96136,0.96621,0.86207,0.44795,0.34564,0.93973,0.00182576,0.00182576,0.00182576
